Code,Name,Market,현금배당수익률(%)_당기,주당 현금배당금(원)
263770,유에스티,KOSDAQ,100,100
010240,흥국,KOSDAQ,48,240
015360,예스코홀딩스,KOSPI,25.6,8750
078520,에이블씨엔씨,KOSPI,21.1,1427
101930,인화정공,KOSDAQ,19.1,2250
161580,필옵틱스,KOSDAQ,14.27,1548
096240,크레버스,KOSDAQ,11.9,2000
208140,정다운,KOSDAQ,10.7,300
002960,한국쉘석유,KOSPI,10.3,25000
314140,알피바이오,KOSDAQ,10,50
010040,한국내화,KOSPI,9,45
092790,넥스틸,KOSPI,8.96,700
017800,현대엘리베이,KOSPI,8.8,4000
145270,케이탑리츠,KOSPI,8.8,95
009240,한샘,KOSPI,8.5,4500
001750,한양증권,KOSPI,8.2,800
204210,스타리츠,KOSPI,8.15,961
282690,동아타이어,KOSPI,8.01,1000
086710,선진뷰티사이언스,KOSDAQ,8,40
082640,동양생명,KOSPI,8,400
029780,삼성카드,KOSPI,7.8,2500
039130,하나투어,KOSPI,7.8,5000
017940,E1,KOSPI,7.72,5150
065710,서호전기,KOSDAQ,7.5,1500
003540,대신증권,KOSPI,7.41,1200
072870,메가스터디,KOSDAQ,7.3,850
024110,기업은행,KOSPI,7.3,984
040420,정상제이엘에스,KOSDAQ,7.23,530
067990,도이치모터스,KOSDAQ,7.2,370
017670,SK텔레콤,KOSPI,7.1,3540
007330,푸른저축은행,KOSDAQ,7.08,650
037710,광주신세계,KOSPI,7.03,2200
035000,HS애드,KOSPI,7,450
029960,코엔텍,KOSDAQ,7,500
019440,세아특수강,KOSPI,7,1000
003470,유안타증권,KOSPI,7,180
031330,에스에이엠티,KOSDAQ,6.9,200
122900,아이마켓코리아,KOSPI,6.8,600
123890,한국자산신탁,KOSPI,6.8,220
001230,동국홀딩스,KOSPI,6.8,600
003690,코리안리,KOSPI,6.8,540
001720,신영증권,KOSPI,6.79,4000
003300,한일홀딩스,KOSPI,6.79,800
005940,NH투자증권,KOSPI,6.76,800
138930,BNK금융지주,KOSPI,6.7,510
093920,서원인텍,KOSDAQ,6.7,400
025000,KPX케미칼,KOSPI,6.7,3000
092230,KPX홀딩스,KOSPI,6.7,3500
316140,우리금융지주,KOSPI,6.7,1000
192400,쿠쿠홀딩스,KOSPI,6.6,0
381970,케이카,KOSPI,6.6,760
175330,JB금융지주,KOSPI,6.5,855
000810,삼성화재,KOSPI,6.5,16000
002230,피에스텍,KOSDAQ,6.34,250
078000,텔코웨어,KOSPI,6.3,640
000480,CR홀딩스,KOSPI,6.24,410
032640,LG유플러스,KOSPI,6.2,650
057050,현대홈쇼핑,KOSPI,6.2,2800
011560,세보엠이씨,KOSDAQ,6.1,550
004650,창해에탄올,KOSDAQ,6.1,600
